rx_Mbps-2g,rx_Mbps_avg3-2g,FreeTime_2.4GHz,Load_2.4GHz,rx_Mbps_avg5-2g,rx_Mbps_avg7-2g,rx_Mbps_lag1-2g,RxTime_2.4GHz,tx_Mbps_avg7-2g,rx_Mbps_lag2-2g,tx_Mbps_avg5-2g,rx_Mbps_lag3-2g,tx_pps-2g,tx_Mbps_avg3-2g,rx_pps-2g,tx_Mbps_lag1-2g,tx_Mbps_lag2-2g,tx_Mbps_lag3-2g,tx_Mbps-2g,LastDataUplinkRate,UplinkMCS,LastDataDownlinkRate,rx_Mbps,SignalStrength_avg10,VendorStats.Glitch_2.4GHz,rx_pps,ObssTime_2.4GHz,TxTime_2.4GHz,SignalStrength_avg7,SignalStrength_avg5,UplinkShortGuard
0.05,0.092,85.0,15.0,2.298,2.54,0.09,1.0,11.711,0.137,11.296,3.793,215.4,14.767,56.0,13.909,25.515,12.131,4.876,206500.0,8.0,229400.0,0.05,-61.9,1108.0,55.8,3.0,8.0,-62.0,-61.8,800.0
45.386,42.365,50.0,50.0,33.847,37.405,58.556,23.0,17.416,23.152,23.099,1.334,694.2,14.257,3016.8,0.507,36.133,55.655,6.13,286700.0,11.0,286700.0,4.572,-45.0,562.0,413.2,3.0,17.0,-45.0,-45.0,1.0
16.876,8.416,25.0,75.0,6.667,9.719,4.053,39.0,10.187,4.318,8.744,0.16,562.6,7.154,1004.6,9.314,7.555,8.865,4.594,72200.0,7.0,72200.0,4.93,-44.7,554.0,466.0,5.0,6.0,-44.57,-44.8,1.0
20.343,14.792,58.0,42.0,12.74,10.055,16.583,29.0,11.421,7.45,8.159,12.003,149.4,7.106,619.8,7.656,13.473,9.949,0.189,1000.0,0.0,216600.0,7.212,-33.8,220.0,597.6,3.0,7.0,-33.71,-33.8,0.0
20.474,11.03,81.0,19.0,14.74,16.411,8.367,9.0,0.078,4.249,0.077,20.248,33.8,0.069,1761.0,0.098,0.057,0.1,0.051,286700.0,11.0,286700.0,22.016,-39.4,663.0,1588.8,4.0,4.0,-39.43,-39.4,1.0
19.168,19.578,48.0,52.0,14.29,10.31,25.339,13.0,35.861,14.226,27.762,12.203,726.2,13.477,1604.4,8.818,24.705,30.358,6.907,258000.0,10.0,129900.0,8.048,-40.5,1104.0,615.6,6.0,26.0,-40.0,-40.0,1.0
8.748,5.987,39.0,61.0,12.623,11.388,5.48,5.0,19.37,3.734,13.068,22.998,2036.4,20.321,822.4,20.735,15.28,3.742,24.948,1000.0,0.0,286700.0,8.642,-46.5,795.0,693.8,4.0,46.0,-46.43,-46.2,0.0
19.028,6.868,7.0,93.0,4.634,6.439,0.647,30.0,60.801,0.928,61.091,0.674,3518.4,56.512,1002.2,62.813,61.42,68.397,45.303,286700.0,11.0,286700.0,0.067,-43.9,307.0,68.6,3.0,57.0,-44.29,-44.2,1.0
0.181,2.066,57.0,43.0,5.099,7.291,1.047,2.0,7.93,4.969,7.506,9.517,1070.2,8.225,86.8,2.708,3.082,6.432,18.886,72200.0,7.0,72200.0,0.102,-42.2,266.0,116.0,11.0,28.0,-42.14,-42.2,1.0
11.962,8.414,44.0,56.0,9.766,13.188,12.915,16.0,15.869,0.364,22.106,2.334,1346.0,24.45,230.6,19.54,31.207,30.441,22.603,72200.0,7.0,72200.0,13.054,-45.4,933.0,1055.8,4.0,28.0,-45.43,-45.0,1.0
3.896,28.026,37.0,63.0,34.066,32.85,37.831,3.0,11.382,42.35,15.767,37.263,2982.8,21.941,507.4,5.437,2.496,6.016,57.89,96100.0,9.0,96100.0,1.064,-53.7,922.0,323.2,4.0,49.0,-54.14,-54.2,1.0
14.114,14.075,58.0,42.0,11.544,9.549,22.011,22.0,8.675,6.101,4.857,11.674,126.8,0.271,818.6,0.317,0.075,0.245,0.421,243700.0,10.0,172000.0,10.432,-31.8,474.0,844.6,10.0,6.0,-31.86,-31.8,1.0
8.017,15.891,40.0,60.0,15.499,13.708,10.411,21.0,31.984,29.244,24.961,26.934,1756.4,23.462,825.2,31.569,1.331,9.674,37.485,1000.0,0.0,96100.0,8.46,-48.8,192.0,690.2,7.0,31.0,-48.14,-47.2,0.0
30.862,36.493,29.0,71.0,38.518,33.423,34.398,46.0,15.965,44.219,10.341,35.001,386.0,6.88,323.4,3.736,11.973,21.749,4.932,286700.0,11.0,172000.0,0.04,-39.2,676.0,38.8,5.0,11.0,-39.29,-39.4,1.0
8.05,7.157,31.0,69.0,8.555,7.128,8.354,7.0,27.745,5.067,24.001,7.256,2403.4,22.133,791.8,17.061,20.185,20.902,29.154,1000.0,0.0,286700.0,7.654,-47.5,487.0,646.2,5.0,49.0,-48.0,-48.6,0.0
27.777,20.955,68.0,32.0,16.582,14.239,23.011,19.0,6.654,12.077,6.944,8.93,706.8,6.915,1890.8,9.078,8.037,4.621,3.631,96100.0,9.0,96100.0,12.337,-54.1,90.0,1007.8,5.0,6.0,-52.57,-50.8,1.0
15.827,10.091,58.0,42.0,6.118,7.898,14.3,29.0,8.464,0.146,9.642,0.144,139.0,4.426,12.0,3.644,9.485,13.211,0.148,72200.0,7.0,72200.0,15.849,-52.6,592.0,1282.0,4.0,5.0,-52.71,-52.6,1.0
20.111,14.771,53.0,47.0,10.091,12.011,18.209,24.0,13.943,5.993,17.784,0.46,715.4,13.259,1125.2,13.406,17.663,33.798,8.709,96100.0,9.0,96100.0,10.683,-51.2,644.0,875.5,5.0,10.0,-51.14,-51.6,1.0
9.153,11.519,40.0,60.0,8.515,7.845,8.599,6.0,20.294,16.805,25.055,7.6,1545.167,18.509,877.0,21.611,15.671,34.05,18.244,286700.0,11.0,286700.0,10.266,-37.2,753.0,869.6,4.0,44.0,-37.0,-37.0,1.0
36.37,27.357,4.0,96.0,23.59,17.787,20.149,62.0,34.344,25.551,30.24,18.847,2711.6,31.548,785.4,41.062,31.916,27.125,21.665,72200.0,7.0,72200.0,26.888,-39.8,130.0,2270.0,1.0,28.0,-40.71,-40.6,1.0
12.073,5.868,69.0,31.0,5.802,8.914,1.444,4.0,12.467,4.086,17.283,3.87,855.4,26.078,1020.6,37.16,29.204,5.313,11.87,96100.0,9.0,96100.0,4.0,-54.8,478.0,398.5,10.0,16.0,-55.29,-56.0,1.0
18.772,21.133,28.0,72.0,18.566,15.315,22.679,9.0,3.689,21.949,2.184,13.936,907.4,3.463,1590.4,0.113,0.333,0.084,9.943,72200.0,7.0,72200.0,0.138,-47.6,1285.0,156.333,7.0,38.0,-47.71,-47.6,1.0
9.648,13.936,62.0,38.0,10.538,15.776,13.438,10.0,10.24,18.722,9.892,9.137,605.0,6.257,809.4,4.304,8.985,13.037,5.482,72200.0,7.0,72200.0,0.061,-47.5,984.0,68.6,4.0,17.0,-47.57,-47.2,400.0
18.251,15.81,4.0,96.0,12.951,12.833,15.914,31.0,32.892,13.266,41.715,11.47,4084.4,49.567,678.2,42.399,56.301,33.76,50.001,286700.0,11.0,270800.0,2.898,-39.1,184.0,242.8,2.0,59.0,-39.0,-38.4,1.0
17.438,18.461,64.0,36.0,14.955,14.179,23.744,4.0,0.968,14.2,1.03,14.837,67.4,0.706,739.4,0.336,1.697,1.543,0.085,258000.0,10.0,243700.0,8.001,-38.2,1451.0,600.0,13.0,5.0,-38.29,-38.4,1.0
9.038,7.74,39.0,61.0,13.778,19.778,5.467,41.0,16.728,8.715,21.265,9.202,2030.2,32.865,555.2,50.174,9.439,5.817,38.983,96100.0,9.0,96100.0,0.033,-54.3,663.0,32.0,3.0,12.0,-54.0,-54.4,400.0
72.539,57.977,42.0,58.0,38.315,33.599,82.374,42.0,18.422,19.018,22.904,3.924,277.2,13.471,4797.0,0.202,39.776,55.396,0.434,72200.0,7.0,72200.0,14.289,-50.8,737.0,1162.4,3.0,7.0,-50.43,-50.6,400.0
9.759,5.377,50.0,50.0,5.87,7.249,2.298,11.0,21.599,4.075,24.805,6.353,2164.4,27.46,821.0,34.184,22.119,20.709,26.076,72200.0,7.0,72200.0,0.305,-40.8,461.0,345.6,4.0,30.0,-40.86,-40.6,1.0
1.925,6.293,79.0,21.0,8.412,6.056,5.62,1.0,6.023,11.335,3.583,14.243,254.2,3.012,50.6,3.228,1.101,0.269,4.707,72200.0,7.0,72200.0,2.239,-41.1,454.0,196.6,5.0,13.0,-40.86,-41.8,1.0
5.926,5.96,40.0,60.0,9.221,12.713,4.049,23.0,18.467,7.906,17.086,16.002,1586.2,19.855,602.4,17.461,15.592,14.527,26.511,72200.0,7.0,72200.0,0.107,-43.8,704.0,122.4,3.0,27.0,-43.71,-43.6,1.0
0.174,12.688,64.0,36.0,12.369,15.531,14.395,2.0,4.664,23.494,6.336,16.708,1009.2,8.907,8.2,8.804,5.498,3.48,12.419,72200.0,7.0,72200.0,0.168,-62.8,1000.0,193.8,6.0,24.0,-62.57,-62.4,400.0
